code;first_letter
46098;D0A4A1A0A4
46027;D0A4A1A1
46028;D0A4A1A1A0
46039;D0A4A1A1A1
46042;D0A4A1A1A2
46016;D0A4A1A1A3
46010;D0A4A1A1A4
46029;D0A4A1A1A5
46049;D0A4A1A2
46006;D0A4A1A2A0
46012;D0A4A1A2A1
46044;D0A4A1A2A2
46001;D0A4A1A2A2A0
46047;D0A4A1A2A3
46036;D0A4A1A2A4
46009;D0A4A1A2A5
46052;D0A4A1A2A6
46019;D0A4A1A2A7
46085;D0A4A2
46095;D0A4A2A0
46084;D0A4A3
31054;D0A5
31036;D0A5A0
31034;D0A5A1
31067;D0A5A2
31077;D0A5A2A0
31068;D0A5A2A1
31088;D0A5A2A2
31089;D0A5A2A2A0
31098;D0A5A2A2A1
31099;D0A5A2A2A1A0
31097;D0A5A2A2A2
31090;D0A5A2A2A3
31016;D0A5A3
31018;D0A5A4
31005;D0A5A5
31010;D0A5A6
31038;D0A5A7
31012;D0A5A7A0
31091;D0A5A8
31073;D0A5A9
31093;D0A5B0
31023;D0A5B1
31025;D0A5B1A0
31027;D0A5B1A1
31026;D0A5B1A2
31035;D0A5B1A3
31029;D0A5B1A4
31092;D0A5B2
31057;D0A5B3
31046;D0A5B3A0
31081;D0A5B4
31082;D0A5B4A0
31051;D0A5B4A1
31080;D0A5B4A2
31084;D0A5B5
31014;D0A5B6
31052;D0A5B6A0
31058;D0A5B7
31002;D0A5B8
31085;D0A5B9
31096;D0A5B9A0
31094;D0A5B9A1
31024;D0A5B9A1A0
31095;D0A5B9A2
31028;D0A5C0
31019;D0A5C0A0
31017;D0A5C1
31049;D0A5C2
31047;D0A5C2A0
31048;D0A5C2A1
31006;D0A5C3
31004;D0A5C3A0
31022;D0A5C3A1
31007;D0A5C3A2
31032;D0A5C4
31030;D0A5C4A0
31041;D0A5C4A1
31031;D0A5C4A2
31021;D0A5C4A3
31033;D0A5C4A4
31020;D0A5C4A5
31001;D0A5C4A6
31008;D0A5C5
31009;D0A5C5A0
31011;D0A5C5A0A0
31003;D0A5C6
31070;D0A5C7
31015;D0A5C8
30854;D0A6
30831;D0A6A0
30827;D0A6A1
30881;D0A6A2
30840;D0A6A3
30882;D0A6A4
30808;D0A6A5
30809;D0A6A6
30801;D0A6A7
30857;D0A6A8
30802;D0A6A9
30867;D0A6B0
30807;D0A6B1
30810;D0A6B2
30811;D0A6B3
30805;D0A6B4
30825;D0A6B5
30812;D0A6B6
